,cluster_time,query,gx_time,bf_time,diff,gx_dist,gx_match,bf_dist,bf_match,num_rows,num_cols_max
0,,,,,,,,,,175.0,
1,,,,,,,,,,,464.0
2,7.378916501998901,,,,,,,,,,
3,,(bac5189d-13f3-4e1c-a4aa-7db41f971700): (0:463)len=464,0.3699181079864502,23.6407630443573,,,,,,,
4,,,,,0.0,0.0,(bac5189d-13f3-4e1c-a4aa-7db41f971700): (0:463)len=464,0.0,(bac5189d-13f3-4e1c-a4aa-7db41f971700): (0:463)len=464,,
5,,,,,0.0,1.6557736318889463e-06,(bac5189d-13f3-4e1c-a4aa-7db41f971700): (0:462)len=463,1.6557736318889463e-06,(bac5189d-13f3-4e1c-a4aa-7db41f971700): (0:462)len=463,,
6,,,,,0.00024466644259052244,0.0002535700783759618,(bac5189d-13f3-4e1c-a4aa-7db41f971700): (1:463)len=463,8.903635785439345e-06,(bac5189d-13f3-4e1c-a4aa-7db41f971700): (0:461)len=462,,
7,,,,,0.0009875268077051942,0.0010042955817287065,(cc2b1985-c142-4896-8e30-8f06df28ff9e): (0:463)len=464,1.676877402351223e-05,(bac5189d-13f3-4e1c-a4aa-7db41f971700): (0:460)len=461,,
8,,,,,0.0009797661733619498,0.0010074401343833658,(cc2b1985-c142-4896-8e30-8f06df28ff9e): (0:462)len=463,2.767396102141607e-05,(bac5189d-13f3-4e1c-a4aa-7db41f971700): (0:459)len=460,,
9,,,,,0.0011639601894857389,0.0012093732816418224,(53695cd7-0258-47f1-9a38-f11e55fcdeaf): (0:463)len=464,4.541309215608352e-05,(bac5189d-13f3-4e1c-a4aa-7db41f971700): (0:458)len=459,,
10,,,,,0.0011485588719420776,0.0012151228174496467,(53695cd7-0258-47f1-9a38-f11e55fcdeaf): (0:462)len=463,6.656394550756916e-05,(bac5189d-13f3-4e1c-a4aa-7db41f971700): (0:457)len=458,,
11,,,,,0.001144678144342438,0.0012411902221677014,(57ae6083-08f2-4fdc-9202-f8f77b7161b3): (0:463)len=464,9.651207782526334e-05,(bac5189d-13f3-4e1c-a4aa-7db41f971700): (0:456)len=457,,
12,,,,,0.001111697330146533,0.0012446613672396482,(57ae6083-08f2-4fdc-9202-f8f77b7161b3): (0:462)len=463,0.00013296403709311526,(bac5189d-13f3-4e1c-a4aa-7db41f971700): (0:455)len=456,,
13,,,,,0.0010901596089897842,0.0012609113186121275,(cc2b1985-c142-4896-8e30-8f06df28ff9e): (1:463)len=463,0.00017075170962234335,(bac5189d-13f3-4e1c-a4aa-7db41f971700): (0:454)len=455,,
14,,,,,0.0011078401449376688,0.0013220654579606504,(49cc40ff-5d72-46e0-8211-c81b07659b2e): (0:463)len=464,0.00021422531302298158,(bac5189d-13f3-4e1c-a4aa-7db41f971700): (0:453)len=454,,
15,,,,,0.0010822634153693242,0.001335833493745286,(05d9877b-5b74-4a58-aa58-e51d4c31d5e9): (1:463)len=463,0.0002535700783759618,(bac5189d-13f3-4e1c-a4aa-7db41f971700): (1:463)len=463,,
16,,,,,0.0011588761474450099,0.0014143776213232794,(05d9877b-5b74-4a58-aa58-e51d4c31d5e9): (0:463)len=464,0.0002555014738782696,(bac5189d-13f3-4e1c-a4aa-7db41f971700): (1:462)len=462,,
17,,,,,0.0011572178111069957,0.0014160183076472005,(05d9877b-5b74-4a58-aa58-e51d4c31d5e9): (0:462)len=463,0.0002588004965402049,(bac5189d-13f3-4e1c-a4aa-7db41f971700): (2:463)len=462,,
18,,,,,0.0011608297720125094,0.0014197449563469666,(4a2a43d7-fb91-48f4-895f-4c261b384dce): (1:463)len=463,0.0002589151843344571,(bac5189d-13f3-4e1c-a4aa-7db41f971700): (3:463)len=461,,
19,,,,,0.0009025360572957165,,,,,,
20,,(b82f3961-d16c-42d0-8bd5-c36dafc35db8): (0:463)len=464,0.26827192306518555,24.255571365356445,,,,,,,
21,,,,,0.0,0.0,(b82f3961-d16c-42d0-8bd5-c36dafc35db8): (0:463)len=464,0.0,(b82f3961-d16c-42d0-8bd5-c36dafc35db8): (0:463)len=464,,
22,,,,,0.0,5.428275839647178e-06,(b82f3961-d16c-42d0-8bd5-c36dafc35db8): (0:462)len=463,5.428275839647178e-06,(b82f3961-d16c-42d0-8bd5-c36dafc35db8): (0:462)len=463,,
23,,,,,0.00012588338476334955,0.00013604754282648253,(b82f3961-d16c-42d0-8bd5-c36dafc35db8): (1:463)len=463,1.0164158063132986e-05,(b82f3961-d16c-42d0-8bd5-c36dafc35db8): (0:460)len=461,,
24,,,,,0.0010004548467572154,0.0010106300049914124,(9d565779-3c9c-472e-98f7-797257e08ccc): (0:463)len=464,1.0175158234196984e-05,(b82f3961-d16c-42d0-8bd5-c36dafc35db8): (0:459)len=460,,
25,,,,,0.0010363398457759025,0.0010484303045877252,(9d565779-3c9c-472e-98f7-797257e08ccc): (0:462)len=463,1.2090458811822645e-05,(b82f3961-d16c-42d0-8bd5-c36dafc35db8): (0:461)len=462,,
26,,,,,0.0010633293413768435,0.0010763031073126774,(25b94dd1-ecbb-4ada-826a-318462f5282a): (0:463)len=464,1.2973765935834047e-05,(b82f3961-d16c-42d0-8bd5-c36dafc35db8): (0:458)len=459,,
27,,,,,0.0011334677827117652,0.0011648978045509521,(9d565779-3c9c-472e-98f7-797257e08ccc): (1:463)len=463,3.143002183918687e-05,(b82f3961-d16c-42d0-8bd5-c36dafc35db8): (0:457)len=458,,
28,,,,,0.001108890952832734,0.0011742041722277287,(25b94dd1-ecbb-4ada-826a-318462f5282a): (1:463)len=463,6.531321939499482e-05,(b82f3961-d16c-42d0-8bd5-c36dafc35db8): (0:456)len=457,,
